length_mm;width_mm;thickness_mm
26,90;21,90;15,77
29,00;21,00;15,77
38,90;22,73;18,57
34,80;21,23;20,67
37,00;24,80;19,83
40,10;26,93;21,27
35,20;22,33;19,23
34,00;19,70;21,33
36,90;25,20;15,53
43,00;25,80;17,43
33,30;25,37;22,23
37,90;22,77;21,23
28,80;23,60;23,30
33,40;24,37;22,83
39,70;25,50;21,70
55,60;22,90;17,47
38,30;24,27;22,83
46,20;27,33;19,57
44,60;30,17;19,97
38,70;30,43;22,23
37,80;24,67;20,00
37,10;25,57;24,53
44,60;27,30;14,87
35,40;27,47;22,50
36,50;28,93;23,90
38,90;27,37;21,87
39,00;26,70;20,63
49,00;28,63;13,57
48,80;27,80;19,00
44,00;32,27;15,00
51,20;29,50;20,10
48,30;31,87;22,07
45,00;33,97;14,00
39,00;25,40;26,57
66,60;34,77;40,60
40,60;27,70;32,90
46,20;22,53;23,90
54,70;28,97;23,80
60,70;33,77;24,20
52,10;28,93;15,67
21,20;26,30;20,83
48,90;30,47;24,73
51,30;28,20;18,97
62,26;27,37;26,40
48,00;30,17;30,47
54,50;28,80;19,33
47,40;33,93;23,93
45,00;29,70;27,13
51,10;39,33;21,80
44,40;33,77;25,47
71,60;43,93;12,30
49,60;34,03;32,53
55,70;27,23;23,57
62,40;44,77;16,37
62,30;33,50;20,30
58,60;29,80;28,50
72,10;34,57;27,10
58,30;28,50;26,73
63,30;43,87;26,13
67,40;39,27;18,07
61,90;47,00;18,00
64,20;33,47;19,27
56,10;30,43;27,73
77,90;33,73;16,77
50,40;35,53;32,20
61,80;32,83;28,47
46,70;35,83;30,93
48,10;32,67;30,20
64,50;50,80;15,57
65,80;40,20;20,27
54,30;35,97;24,60
55,20;38,53;31,33
65,20;39,93;21,43
45,10;32,60;28,43
54,10;44,60;34,03
61,10;47,53;20,17
64,40;46,37;28,20
61,70;36,37;30,87
56,10;32,80;33,27
67,60;33,63;37,83
61,70;34,90;39,23
49,30;39,73;29,13
62,70;32,87;28,27
66,10;48,70;32,03
66,40;38,90;30,33
57,80;44,87;38,80
78,40;41,33;19,60
76,60;29,57;30,53
62,90;39,10;30,07
62,10;38,20;35,33
52,60;44,73;28,67
60,60;38,93;40,20
67,40;38,87;35,33
61,70;42,33;36,87
60,80;43,37;33,80
51,50;34,97;29,77
77,80;37,90;25,77
55,90;36,43;31,83
69,30;43,30;29,30
69,40;39,40;34,73
62,10;47,70;39,93
115,20;42,33;21,53
57,10;39,90;41,23
65,80;48,43;43,37
73,90;46,80;30,80
72,20;42,07;36,20
90,90;46,77;20,83
72,50;44,33;28,53
90,00;50,17;21,60
73,20;40,10;36,87
88,70;40,43;31,47
64,30;50,77;30,07
75,60;35,17;34,47
75,90;45,80;39,57
70,20;55,30;31,50
66,00;38,70;49,93
65,60;50,90;40,43
67,20;46,00;38,43
85,20;45,93;29,50
84,70;53,03;30,87
103,60;47,43;24,70
68,50;57,33;38,93
68,20;49,93;40,20
76,50;54,37;37,43
71,20;47,60;39,70
66,20;44,00;37,37
81,80;50,14;38,83
82,00;45,50;35,40
72,80;60,80;49,97
86,90;60,43;44,60
79,30;52,07;44,90
109,80;41,50;37,67
75,30;52,13;49,03
115,30;54,07;23,73
85,00;60,43;41,63
80,30;50,23;42,87
78,20;56,87;34,57
72,90;53,03;51,20
80,00;48,27;35,30
111,60;37,70;42,50
74,70;51,37;39,33
72,40;43,90;52,83
92,70;50,47;48,57
111,90;53,10;42,50
74,20;47,77;50,13
72,70;52,97;42,73
62,10;47,80;48,67
87,50;55,73;52,93
104,90;50,90;47,67
76,20;66,17;57,80
96,50;63,30;40,43
96,00;70,20;65,43
89,70;74,67;59,07
100,90;75,17;48,80
82,40;67,97;54,00
76,00;59,57;52,13
103,90;76,00;50,60
84,20;59,70;49,43
93,10;69,73;53,17
122,80;54,77;46,50
120,40;75,07;41,80
95,40;67,13;48,03
87,50;63,60;61,90
109,30;60,20;61,90
102,80;69,47;53,83
99,50;65,43;50,73
91,60;60,83;59,93
115,20;69,80;44,47
118,00;63,70;51,57
96,40;71,67;53,87
184,00;53,80;42,70
105,10;77,40;51,47
107,30;74,30;57,57
100,00;84,67;58,00
108,50;58,30;62,53
112,50;67,83;42,73
116,30;70,47;56,27
112,00;81,53;45,87
107,20;72,40;59,03
121,10;83,77;49,37
102,60;81,67;67,70
108,80;70,97;57,73
110,10;72,37;58,00
136,10;71,07;61,30
132,40;60,10;59,07
111,10;81,77;61,27
132,80;89,50;53,70
115,60;105,80;53,23
150,70;81,73;68,07
189,00;88,90;46,20
130,70;92,97;60,10
182,00;96,10;43,40
120,30;93,40;70,50
171,00;85,13;66,43
178,00;86,73;89,40
172,00;96,97;71,77
171,00;96,87;78,20
146,70;100,23;68,83
143,10;101,43;78,87
154,90;94,70;95,40
